Last Updated Date,Last Updated Date일,Employer,Doing Business As,Account Status,Opted into E-Verify+,Date Enrolled,Date Terminated,Workforce Size,Hiring Site Locations,Number of Hiring Sites,레코드 수
2026. 3. 25.,2026년 3월 25일,Lemoine Disaster Recovery LLC,,Open,No,02/05/2026,,5 to 9,"AZ,CA,DC,FL,LA,MI,NY,TX",12,1
2026. 3. 25.,2026년 3월 25일,M&R OPERATIONS SERVICES CORP.,,Open,Yes,03/25/2026,,5 to 9,NY,1,1
2026. 3. 25.,2026년 3월 25일,"Maid2Clean Services, LLC",,Open,Yes,03/25/2026,,20 to 99,MO,1,1
2026. 3. 25.,2026년 3월 25일,"Mavrx, LLC","Mavrx, LLC",Open,Yes,03/25/2026,,10 to 19,CO,1,1
2026. 3. 25.,2026년 3월 25일,Mayat Enterprises Corp,,Open,Yes,03/25/2026,,5 to 9,GA,1,1
2026. 3. 25.,2026년 3월 25일,Mc.Donalds,,Open,Yes,03/25/2026,,20 to 99,WA,1,1
2026. 3. 25.,2026년 3월 25일,Multiplier Holdings Inc.,Multiplier Holdings,Open,Yes,03/25/2026,,5 to 9,CA,1,1
2026. 3. 25.,2026년 3월 25일,Nexplore Group LLC,,Open,No,01/13/2026,,10 to 19,"CA,CO,DC,FL,MA,MI,MO,NJ,NY,OR,TX,WA",64,1
2026. 3. 25.,2026년 3월 25일,Pahoresky & Associates LLC,PRP & Associates ,Open,Yes,03/25/2026,,10 to 19,OH,1,1
2026. 3. 25.,2026년 3월 25일,PC USA West Operations LLC,,Open,No,03/25/2026,,100 to 499,CA,1,1
2026. 3. 25.,2026년 3월 25일,Peoples Food Cooperative Inc,,Open,No,03/25/2026,,100 to 499,WI,1,1
2026. 3. 25.,2026년 3월 25일,Phillip Capital Inc,,Open,No,03/24/2026,,20 to 99,IL,1,1
2026. 3. 25.,2026년 3월 25일,"PMWEB, LLC",,Open,No,03/25/2026,,20 to 99,FL,1,1
2026. 3. 25.,2026년 3월 25일,Quotemanage LLC,,Open,No,03/04/2026,,"1,000 to 2,499","AL,AZ,CA,FL,GA,IN,MA,NC,SC,TN,TX,UT",58,1
2026. 3. 25.,2026년 3월 25일,Renovate Counseling Services,Renovate Counseling Services,Open,Yes,03/25/2026,,20 to 99,IN,6,1
2026. 3. 25.,2026년 3월 25일,Role model protective agency department corporation,,Open,No,03/25/2026,,10 to 19,IL,1,1
2026. 3. 25.,2026년 3월 25일,Sierra Charlie Aviation LLC,,Open,No,03/25/2026,,20 to 99,AZ,1,1
2026. 3. 25.,2026년 3월 25일,SimpleDataLabs Inc.,,Open,No,03/03/2026,,100 to 499,"CA,IN",7,1
2026. 3. 25.,2026년 3월 25일,Skin Associates of South Florida PA,,Open,No,03/25/2026,,20 to 99,FL,1,1
2026. 3. 25.,2026년 3월 25일,Skylight Inc.,,Open,No,02/12/2026,,100 to 499,"AZ,FL,MD,MN",4,1
2026. 3. 25.,2026년 3월 25일,TFPB Staffing LLC,,Open,No,02/24/2026,,500 to 999,"FL,IN,MS,NC,OH,TN,WV",25,1
2026. 3. 25.,2026년 3월 25일,"Therini Bio, Inc.",,Open,Yes,03/25/2026,,5 to 9,CA,1,1
2026. 3. 25.,2026년 3월 25일,True North Goodwill Northern Minnesota and Northwestern Wisconsin,,Open,No,03/25/2026,,100 to 499,MN,1,1
2026. 3. 25.,2026년 3월 25일,TTS Group Incorporated,,Open,No,03/25/2026,,10 to 19,IL,1,1
2026. 3. 25.,2026년 3월 25일,"Wpromote, LLC",,Open,No,03/05/2026,,500 to 999,"CA,CO,GA,IL,NY,UT",7,1
2026. 3. 24.,2026년 3월 24일,"3-Tier Alaska Capital, Inc.",,Open,Yes,03/24/2026,,20 to 99,AK,1,1
2026. 3. 24.,2026년 3월 24일,30 MINUTES TO PRESIDENTS CLUB LLC,,Open,No,03/24/2026,,5 to 9,CA,1,1
2026. 3. 24.,2026년 3월 24일,73 Atlantic Avenue Operator LLC,,Open,No,03/24/2026,,10 to 19,NY,1,1
2026. 3. 24.,2026년 3월 24일,99 Exposure INC.,,Open,Yes,03/24/2026,,20 to 99,OH,1,1
2026. 3. 24.,2026년 3월 24일,180 Degrees Inc.,,Open,No,03/24/2026,,100 to 499,MN,1,1
2026. 3. 24.,2026년 3월 24일,1100 LAKESHORE LLC,,Open,No,03/24/2026,,5 to 9,GA,1,1
2026. 3. 24.,2026년 3월 24일,"2430 - Summit Heating %26 Air, LLC",,Open,No,03/24/2026,,5 to 9,TN,1,1
2026. 3. 24.,2026년 3월 24일,A Better Way Services Inc,,Open,No,03/24/2026,,100 to 499,IN,1,1
2026. 3. 24.,2026년 3월 24일,AB ADMINISTRATIVE LLC,,Open,No,03/24/2026,,20 to 99,MA,1,1
2026. 3. 24.,2026년 3월 24일,Abington Public Schools,,Open,Yes,03/24/2026,,100 to 499,MA,1,1
2026. 3. 24.,2026년 3월 24일,ACB Stadium LLC,,Open,No,03/24/2026,,20 to 99,ID,1,1
2026. 3. 24.,2026년 3월 24일,"ACC Colorado, LLC",,Open,No,03/12/2026,,5 to 9,CO,2,1
2026. 3. 24.,2026년 3월 24일,"Accurate Cargo Delivery Systems, Inc.",,Open,Yes,03/24/2026,,100 to 499,"AZ,NV",2,1
2026. 3. 24.,2026년 3월 24일,"ACME Block and Brick, Inc.",,Open,No,03/24/2026,,100 to 499,"GA,KY,TN",9,1
2026. 3. 24.,2026년 3월 24일,Acro Systems Inc,,Open,Yes,03/24/2026,,5 to 9,MD,1,1
2026. 3. 24.,2026년 3월 24일,ADVANCED CONSTRUCTION TECH LLC,,Open,No,03/24/2026,,20 to 99,CA,1,1
2026. 3. 24.,2026년 3월 24일,ADVANCED CONSTRUCTION TECHNOLOGIES LLC,,Open,No,03/24/2026,,100 to 499,CA,1,1
2026. 3. 24.,2026년 3월 24일,"ADVICS North America, Inc.",,Open,No,03/24/2026,,"1,000 to 2,499","GA,IN,MI,OH",4,1
2026. 3. 24.,2026년 3월 24일,Agassiz Valley Grain LLC,,Open,No,03/24/2026,,5 to 9,MN,1,1
2026. 3. 24.,2026년 3월 24일,"AIQ Phase, LLC",,Open,No,03/24/2026,,20 to 99,TX,1,1
2026. 3. 24.,2026년 3월 24일,"Alan Stone Co., Inc.",,Open,Yes,03/24/2026,,20 to 99,OH,1,1
2026. 3. 24.,2026년 3월 24일,ALK Allergy Supplies Inc.,,Open,No,03/24/2026,,20 to 99,OK,1,1
2026. 3. 24.,2026년 3월 24일,All-Clad MetalCrafters LLC,,Open,No,03/24/2026,,100 to 499,PA,1,1
2026. 3. 24.,2026년 3월 24일,Allen Enterprises & Investments,Innovative Behavioral & Consulting Services,Open,Yes,03/24/2026,,10 to 19,FL,1,1
2026. 3. 24.,2026년 3월 24일,Almanza Unlimited Inc,Amazing Athletes of Savannah,Open,Yes,03/24/2026,,5 to 9,GA,1,1
2026. 3. 24.,2026년 3월 24일,Altanova,Altanova energy + Sustainability,Open,Yes,03/24/2026,,10 to 19,NY,1,1
2026. 3. 24.,2026년 3월 24일,"AM Signal, LLC",,Open,No,03/24/2026,,20 to 99,CO,1,1
2026. 3. 24.,2026년 3월 24일,American Sports and Performance Dieticians Association,,Open,No,03/24/2026,,5 to 9,TX,1,1
2026. 3. 24.,2026년 3월 24일,AMERICAN WICK DRAIN CORP,,Open,No,03/24/2026,,20 to 99,"NC,NV",2,1
2026. 3. 24.,2026년 3월 24일,AMEX CONCRETE & MASONRY LLC,,Open,Yes,03/24/2026,,5 to 9,FL,1,1
2026. 3. 24.,2026년 3월 24일,AMKY MSO-1 PLLC,Primary care of salem,Open,Yes,03/24/2026,,10 to 19,IL,1,1
2026. 3. 24.,2026년 3월 24일,"AMPLIFY SOLUTIONS, LLC",AMPLIFY FEDERAL,Open,Yes,03/24/2026,,20 to 99,VA,1,1
2026. 3. 24.,2026년 3월 24일,"Anata, Inc.",Anata,Open,Yes,03/24/2026,,20 to 99,DC,1,1
2026. 3. 24.,2026년 3월 24일,Anchor Mechanical,,Open,Yes,03/24/2026,,500 to 999,IL,1,1
2026. 3. 24.,2026년 3월 24일,"AngioWave Imaging, Inc.","AngioWave Imaging, Inc.",Open,Yes,03/24/2026,,5 to 9,MA,1,1
2026. 3. 24.,2026년 3월 24일,"Apex Technology, Inc.",,Open,No,03/05/2026,,100 to 499,CA,2,1
2026. 3. 24.,2026년 3월 24일,APPLIED GEOKINETICS LP,,Open,No,03/24/2026,,20 to 99,CA,1,1
2026. 3. 24.,2026년 3월 24일,APT Northway Services Corp,,Open,No,03/24/2026,,5 to 9,"NJ,NY",2,1
2026. 3. 24.,2026년 3월 24일,ARA SERVICES LLC.,ARA SERVICES LLC.,Open,Yes,03/24/2026,,100 to 499,MS,1,1
2026. 3. 24.,2026년 3월 24일,Arborserv Inc,Arborserv Inc,Open,Yes,03/24/2026,,5 to 9,GA,1,1
2026. 3. 24.,2026년 3월 24일,Arc Central Services LLC,,Open,No,03/24/2026,,10 to 19,NJ,1,1
2026. 3. 24.,2026년 3월 24일,ARMATURA LLC,,Open,No,03/24/2026,,100 to 499,DE,1,1
2026. 3. 24.,2026년 3월 24일,Around the Korner Center for School Age Enrichment,Around the Korner Center for School Age Enrichment,Open,Yes,03/24/2026,,100 to 499,CA,5,1
2026. 3. 24.,2026년 3월 24일,"ARV GROUP, LLC",CANDLEWOOD SUITES CAPE GIRARDEAU,Open,Yes,03/24/2026,,10 to 19,MO,1,1
2026. 3. 24.,2026년 3월 24일,Atlanta Postal Credit Union,,Open,No,03/24/2026,,100 to 499,GA,1,1
2026. 3. 24.,2026년 3월 24일,AurotekCorp,Inc,Open,Yes,03/24/2026,,5 to 9,NJ,1,1
2026. 3. 24.,2026년 3월 24일,Aurotekcorp Inc,,Open,Yes,03/24/2026,,5 to 9,NJ,1,1
2026. 3. 24.,2026년 3월 24일,AUSTELL INTERNATIONAL FARMERS MARKET LLC,,Open,No,03/24/2026,,100 to 499,GA,1,1
2026. 3. 24.,2026년 3월 24일,"Auto Hauler Exchange, Inc.","Auto Hauler Exchange, Inc.",Open,Yes,03/24/2026,,20 to 99,MI,1,1
2026. 3. 24.,2026년 3월 24일,Auza & Auza Contracting Inc,,Open,No,03/24/2026,,20 to 99,AZ,1,1
2026. 3. 24.,2026년 3월 24일,"AXIS LEASED LABOR, LLC",,Open,No,03/24/2026,,20 to 99,OH,1,1
2026. 3. 24.,2026년 3월 24일,Ayrshire Inc.,,Open,Yes,03/24/2026,,20 to 99,OH,2,1
2026. 3. 24.,2026년 3월 24일,"Backus Locker, LLC",,Open,No,03/24/2026,,10 to 19,MN,1,1
2026. 3. 24.,2026년 3월 24일,"Backyard Basecamp, Inc.","Backyard Basecamp, Inc.",Open,Yes,03/24/2026,,10 to 19,MD,1,1
2026. 3. 24.,2026년 3월 24일,BALAMONIS LLC,,Open,Yes,03/24/2026,,20 to 99,FL,1,1
2026. 3. 24.,2026년 3월 24일,"Barrington Manufacturing, LLC",,Open,Yes,03/24/2026,,20 to 99,MO,1,1
2026. 3. 24.,2026년 3월 24일,Bay Area Allergy & Asthma,Bay Area Allergy & Asthma,Open,Yes,03/24/2026,,5 to 9,FL,1,1
2026. 3. 24.,2026년 3월 24일,Be Wise Behavior,Bee Wise Behavior,Open,Yes,03/24/2026,,100 to 499,"NC,NJ,VA",3,1
2026. 3. 24.,2026년 3월 24일,Be Wise Behavior,Bee Wise Behavior ,Open,Yes,02/13/2026,04/24/2026,100 to 499,"NC,NJ,VA",3,1
2026. 3. 24.,2026년 3월 24일,BEAR COMMUNICATIONS INC,BEARCOM COMMUNICATIONS INC,Open,Yes,03/24/2026,,"1,000 to 2,499","GA,TX",2,1
2026. 3. 24.,2026년 3월 24일,Behindthechair.com Inc,,Open,No,03/24/2026,,20 to 99,IL,1,1
2026. 3. 24.,2026년 3월 24일,Beilo E-Store Co,,Open,Yes,03/24/2026,,5 to 9,CA,1,1
2026. 3. 24.,2026년 3월 24일,Beth David Congregation,,Open,No,03/24/2026,,20 to 99,FL,1,1
2026. 3. 24.,2026년 3월 24일,Bille Bus Transportation Inc,,Open,Yes,03/24/2026,,500 to 999,MN,1,1
2026. 3. 24.,2026년 3월 24일,Black Women Thriving East of the River,,Open,Yes,03/24/2026,,10 to 19,DC,1,1
2026. 3. 24.,2026년 3월 24일,"Blackmon Auctions, Inc.","Blackmon Auctions, Inc.",Open,Yes,03/24/2026,,20 to 99,"AR,TX",2,1
2026. 3. 24.,2026년 3월 24일,Blue Line Coffee Incorporated,,Open,No,03/24/2026,,20 to 99,FL,1,1
2026. 3. 24.,2026년 3월 24일,Blue Skies Drone Rental LLC,Blue Skies Drones,Open,Yes,03/24/2026,,5 to 9,WA,1,1
2026. 3. 24.,2026년 3월 24일,Blue View Manufactured and Modular Inc,Blue View Builder,Open,Yes,03/24/2026,,20 to 99,CA,1,1
2026. 3. 24.,2026년 3월 24일,"Bluehound Printing, Inc",Bluehound Printing,Open,Yes,03/24/2026,,5 to 9,GA,1,1
2026. 3. 24.,2026년 3월 24일,Bluestar property investment group llc,,Open,Yes,03/24/2026,,20 to 99,AR,1,1
2026. 3. 24.,2026년 3월 24일,BOL Hospitality Group LLC,,Open,No,03/24/2026,,100 to 499,FL,1,1
2026. 3. 24.,2026년 3월 24일,Bond Distributing LLC,,Open,No,03/24/2026,,100 to 499,MD,1,1
2026. 3. 24.,2026년 3월 24일,Brek Manufacturing,,Open,No,03/24/2026,,100 to 499,"CA,KS",2,1
2026. 3. 24.,2026년 3월 24일,Brighter Stronger Foundation,,Open,No,03/24/2026,,100 to 499,MD,1,1
2026. 3. 24.,2026년 3월 24일,Bruwyer LLC,Pike Cornerstone,Open,Yes,03/24/2026,,10 to 19,VA,1,1
2026. 3. 24.,2026년 3월 24일,Building Code Solutions,,Open,Yes,03/24/2026,,5 to 9,UT,1,1
2026. 3. 24.,2026년 3월 24일,BULLPENOPS,,Open,No,03/24/2026,,20 to 99,WI,1,1
2026. 3. 24.,2026년 3월 24일,"C & H Detasseling, LLC","C & H Detasseling, LLC",Open,Yes,03/24/2026,,100 to 499,NE,1,1
2026. 3. 24.,2026년 3월 24일,C. Foster Construction Company Inc,C. Foster Construction Company Inc,Open,Yes,03/24/2026,,10 to 19,TN,1,1
2026. 3. 24.,2026년 3월 24일,"CAMBRIAN INNOVATION, LLC",,Open,No,03/24/2026,,20 to 99,TX,1,1
2026. 3. 24.,2026년 3월 24일,Capital USA,,Open,Yes,03/24/2026,,20 to 99,"AK,NV",2,1
2026. 3. 24.,2026년 3월 24일,Carolina Grading & Site Development LLC,Carolina Grading & Site Development LLC,Open,Yes,03/24/2026,,20 to 99,NC,1,1
2026. 3. 24.,2026년 3월 24일,CAROLINA SASH AND SEW,CSS Embroidery,Open,Yes,03/24/2026,,10 to 19,SC,1,1
2026. 3. 24.,2026년 3월 24일,Cassidy Maintenance Corp,,Open,No,03/24/2026,,20 to 99,"NJ,NY",2,1
2026. 3. 24.,2026년 3월 24일,Cavalieri flooring,,Open,Yes,03/24/2026,,5 to 9,FL,1,1
2026. 3. 24.,2026년 3월 24일,"CCU Coal and Construction, LLC","CCU Coal and Construction, LLC",Open,Yes,03/24/2026,,100 to 499,OH,1,1
2026. 3. 24.,2026년 3월 24일,"CData Software, Inc.",,Open,No,02/03/2026,,500 to 999,"CA,MA,NC,OH,RI,TX",7,1
2026. 3. 24.,2026년 3월 24일,"CE Synergy, LLC",,Open,Yes,03/24/2026,,10 to 19,GA,1,1
2026. 3. 24.,2026년 3월 24일,CELAYA/SOLOWAY INTERIORS LLC,,Open,No,03/24/2026,,10 to 19,AZ,1,1
2026. 3. 24.,2026년 3월 24일,"CELEBRATION PH HOLDINGS, LTD",,Open,No,03/24/2026,,20 to 99,FL,3,1
2026. 3. 24.,2026년 3월 24일,Century Leasing LLC,,Open,No,03/24/2026,,20 to 99,OH,1,1
2026. 3. 24.,2026년 3월 24일,ChargedUp Services LLC,,Open,Yes,03/24/2026,,5 to 9,NC,1,1
2026. 3. 24.,2026년 3월 24일,Charlies Creek Nursery Inc.,,Open,No,03/24/2026,,5 to 9,SC,1,1
2026. 3. 24.,2026년 3월 24일,Chatham County Government,,Open,No,03/24/2026,,"1,000 to 2,499",GA,1,1
2026. 3. 24.,2026년 3월 24일,"Chattahoochee Construction Group, LLC",,Open,Yes,03/24/2026,,10 to 19,GA,1,1
2026. 3. 24.,2026년 3월 24일,Chestnut Hill Health and Rehabilitation Center,Chestnut Hill Health and Rehabilitation Center,Open,Yes,03/24/2026,,100 to 499,MA,1,1
2026. 3. 24.,2026년 3월 24일,Childrens Mercy Pediatric Partners Inc,Childrens Mercy Pediatric Partners Inc,Open,Yes,03/18/2026,,20 to 99,KS,2,1
2026. 3. 24.,2026년 3월 24일,"Chippewa Valley Orthopedics & Sports Medicine Clinic, SC",Chippewa Valley Orthopedics & Sports Medicine,Open,Yes,03/24/2026,,100 to 499,WI,3,1
2026. 3. 24.,2026년 3월 24일,Chitina Support Services,Chitina Support Services,Open,Yes,03/24/2026,,5 to 9,AK,1,1
2026. 3. 24.,2026년 3월 24일,CHRISTIAN WILSON,,Open,No,03/24/2026,,5 to 9,MO,1,1
2026. 3. 24.,2026년 3월 24일,CiMarc Inc,FASTSIGNS Louisville,Open,Yes,03/24/2026,,10 to 19,KY,1,1
2026. 3. 24.,2026년 3월 24일,"Cimbar Resources, Inc",Cimbar Performance Minerals,Open,No,03/24/2026,,100 to 499,"AZ,GA,LA,OH,TN,TX",13,1
2026. 3. 24.,2026년 3월 24일,"Cimbar Resources, Inc",Cimbar Resources,Open,Yes,03/24/2026,04/24/2026,100 to 499,"AZ,GA,LA,OH,TN,TX",13,1
2026. 3. 24.,2026년 3월 24일,"Citian, Inc.",,Open,No,03/24/2026,,20 to 99,"DC,NC",3,1
2026. 3. 24.,2026년 3월 24일,City of Justin,,Open,Yes,03/24/2026,,20 to 99,TX,1,1
2026. 3. 24.,2026년 3월 24일,Clarion Events,,Open,No,03/24/2026,,100 to 499,CT,1,1
2026. 3. 24.,2026년 3월 24일,Clark Unlimited LLC,,Open,No,03/24/2026,,100 to 499,NC,14,1
2026. 3. 24.,2026년 3월 24일,Clean Stream Solutions Plus,Clean Stream Solutions Plus,Open,Yes,03/24/2026,,5 to 9,GA,1,1
2026. 3. 24.,2026년 3월 24일,CLEAN VAPOR NEWCO LLC,,Open,No,03/24/2026,,20 to 99,NY,1,1
2026. 3. 24.,2026년 3월 24일,Clearwater Tides Marina LLC,,Open,Yes,03/24/2026,,5 to 9,FL,1,1
2026. 3. 24.,2026년 3월 24일,Clemmons Road Operating company,,Open,No,03/24/2026,,100 to 499,NC,1,1
2026. 3. 24.,2026년 3월 24일,Clinical Research of the Carolinas,clinical research of rock hill,Open,Yes,03/24/2026,,5 to 9,SC,1,1
2026. 3. 24.,2026년 3월 24일,CML Security LLC,CML Security LLC,Open,Yes,03/24/2026,,100 to 499,"CA,CO,TN,TX",5,1
2026. 3. 24.,2026년 3월 24일,Coastal Learning Center Monmouth Corp.,,Open,No,03/24/2026,,20 to 99,NJ,1,1
2026. 3. 24.,2026년 3월 24일,Collins Pool Management,Collins Pool Management,Open,Yes,03/24/2026,,20 to 99,GA,1,1
2026. 3. 24.,2026년 3월 24일,Comfort Keepers,,Open,No,03/24/2026,,20 to 99,IL,1,1
2026. 3. 24.,2026년 3월 24일,Commercial Residential Aluminum,Commercial Residential Aluminum,Open,Yes,03/24/2026,,100 to 499,FL,3,1
2026. 3. 24.,2026년 3월 24일,"COMMERCIAL REVISIONS CONSTRUCTION, INC.",,Open,No,03/24/2026,,10 to 19,OH,1,1
2026. 3. 24.,2026년 3월 24일,Commercial Utilities LLC,,Open,Yes,03/24/2026,,5 to 9,MD,1,1
2026. 3. 24.,2026년 3월 24일,"Compassion - IFP, LLC",,Open,No,03/24/2026,,5 to 9,NM,1,1
2026. 3. 24.,2026년 3월 24일,Compassionate Home Healthcare,Compassionate Home Healthcare,Open,No,03/24/2026,,5 to 9,MA,1,1
2026. 3. 24.,2026년 3월 24일,Complete Recycling Service LLC,Carls Closet,Open,Yes,03/24/2026,,20 to 99,KS,2,1
2026. 3. 24.,2026년 3월 24일,"CompositePros, LLC",,Open,Yes,03/24/2026,,5 to 9,AZ,1,1
2026. 3. 24.,2026년 3월 24일,COOK OUT-SKIBO RD INC,,Open,Yes,03/24/2026,,20 to 99,NC,1,1
2026. 3. 24.,2026년 3월 24일,Coral Charge INC,Coral Charge,Open,Yes,03/24/2026,,5 to 9,CA,1,1
2026. 3. 24.,2026년 3월 24일,"Corey Enterprises Lawn & Landscape, Inc.",,Open,No,03/24/2026,,20 to 99,FL,1,1
2026. 3. 24.,2026년 3월 24일,"Council for Affordable Quality Healthcare, Inc",,Open,No,03/16/2026,,100 to 499,"DC,FL,IN,KY,MN,NC,OK,TN,VA",11,1
2026. 3. 24.,2026년 3월 24일,Council for Airport Opportunity,Council for Airport Opportunity,Open,Yes,03/24/2026,,20 to 99,"NJ,NY",2,1
2026. 3. 24.,2026년 3월 24일,Country luxe nails spa,princess nails spa,Open,Yes,03/24/2026,,5 to 9,GA,1,1
2026. 3. 24.,2026년 3월 24일,"Cover Up Events, LLC",Cover Ups Linens,Open,Yes,03/24/2026,,5 to 9,GA,1,1
2026. 3. 24.,2026년 3월 24일,Cristcot Management Company Inc,,Open,No,03/09/2026,,20 to 99,"CA,FL,GA,IN,KY,MA,MI,MO,NC,NH,NJ,OH,OR,TN,TX,WA",35,1
2026. 3. 24.,2026년 3월 24일,Crystal Bakery CORP.,Crystal Bakery ,Open,Yes,03/24/2026,,5 to 9,MA,1,1
2026. 3. 24.,2026년 3월 24일,Culinary Artistas LLC,Culinary Artistas,Open,Yes,03/24/2026,,20 to 99,CA,1,1
2026. 3. 24.,2026년 3월 24일,"Current Chemicals, Inc.",,Open,No,03/24/2026,,20 to 99,OH,1,1
2026. 3. 24.,2026년 3월 24일,"D and W Contractors, Inc.","D & W Contractors, Inc.",Open,Yes,03/24/2026,,20 to 99,TX,1,1
2026. 3. 24.,2026년 3월 24일,DAKOTA ELECTRIC INC.,DAKOTA ELECTRIC INC.,Open,Yes,03/24/2026,,10 to 19,SD,1,1
2026. 3. 24.,2026년 3월 24일,"Dart Portable Storage, Inc.",,Open,No,03/24/2026,,5 to 9,MN,1,1
2026. 3. 24.,2026년 3월 24일,"David Costa Enterprises, Inc.",,Open,No,03/24/2026,,100 to 499,FL,3,1
2026. 3. 24.,2026년 3월 24일,Dayton Performing Arts Alliance,,Open,No,03/24/2026,,100 to 499,OH,1,1
2026. 3. 24.,2026년 3월 24일,"DCE 6574, LLC",,Open,No,03/24/2026,,100 to 499,FL,3,1
2026. 3. 24.,2026년 3월 24일,"DCE 11656, LLC",,Open,No,03/24/2026,,100 to 499,FL,3,1
2026. 3. 24.,2026년 3월 24일,Dealeron Inc,,Open,No,01/09/2026,,500 to 999,"MD,NE",2,1
2026. 3. 24.,2026년 3월 24일,"Dehlinger Construction, LLC.",,Open,Yes,03/24/2026,,10 to 19,FL,1,1
2026. 3. 24.,2026년 3월 24일,DEKRA North America,,Open,No,03/24/2026,,500 to 999,GA,1,1
2026. 3. 24.,2026년 3월 24일,"Department of the Interior, Interior Business Center",Interior Business Center,Open,Yes,03/24/2026,,"1,000 to 2,499",CO,1,1
2026. 3. 24.,2026년 3월 24일,DGM INC,TOW PATH READY MIX,Open,Yes,03/24/2026,,100 to 499,OH,1,1
2026. 3. 24.,2026년 3월 24일,DHS-DDD Greenbrook Regional Center,,Open,Yes,03/24/2026,,100 to 499,NJ,1,1
2026. 3. 24.,2026년 3월 24일,Diesel Plus LLC,Diesel Plus LLC,Open,Yes,03/24/2026,,10 to 19,GA,1,1
2026. 3. 24.,2026년 3월 24일,DIGITAL NETWORK GROUP,,Open,Yes,03/24/2026,,20 to 99,MD,1,1
2026. 3. 24.,2026년 3월 24일,DINOS LLC,PALADINOS ITALIAN EATERY,Open,Yes,03/24/2026,,10 to 19,AZ,1,1
2026. 3. 24.,2026년 3월 24일,Dirigo Community Management 2989850,,Open,No,03/24/2026,,20 to 99,ME,2,1
2026. 3. 24.,2026년 3월 24일,"DLCCC, Inc.",,Open,No,03/24/2026,,100 to 499,MN,1,1
2026. 3. 24.,2026년 3월 24일,"Doctors Outpatient Surgery Center, LLC",,Open,No,03/24/2026,,20 to 99,LA,1,1
2026. 3. 24.,2026년 3월 24일,DON P FOOD GROUP INC,,Open,No,03/24/2026,,20 to 99,FL,1,1
2026. 3. 24.,2026년 3월 24일,Drs. Scheffler and Whiteley PLLC,OP Smiles Orthodontics,Open,Yes,03/24/2026,,20 to 99,NC,1,1
2026. 3. 24.,2026년 3월 24일,"Dutch Ann Foods, Inc.",,Open,Yes,03/24/2026,,10 to 19,MS,1,1
2026. 3. 24.,2026년 3월 24일,Eagle Security Services,,Open,No,03/24/2026,,100 to 499,MI,1,1
2026. 3. 24.,2026년 3월 24일,Echo Falls Seafoods LLC,Echo Falls Seafoods LLC,Open,Yes,03/24/2026,,100 to 499,WA,2,1
2026. 3. 24.,2026년 3월 24일,EDGEWATER SENIOR LIVING,,Open,No,03/24/2026,,20 to 99,WI,1,1
2026. 3. 24.,2026년 3월 24일,Elite FTS.com Inc.,Elite FTS.com Inc.,Open,Yes,03/24/2026,,5 to 9,OH,1,1
2026. 3. 24.,2026년 3월 24일,ELITE RADON TEAM LLC,,Open,No,03/24/2026,,20 to 99,GA,1,1
